produkt_id,produkt_nazwa,kategoria_nazwa,cena
16098885,Motul olej silnikowy 5100 4T ESTER 10W40 1L,Oleje silnikowe 4T,53.00
16104164,MOTUL Olej silnikowy 300V 4T FL ROAD RACING 10W40 1L (SYNTETYCZNY),Oleje silnikowe 4T,85.00
16104171,Motul Gear Competition 75w140 1L olej przekładniowy syntetyczny,Oleje przekładniowe,138.00
16104174,MOTOREX olej silnikowy CROSS POWER 4T SAE 10W60 1L,Oleje silnikowe 4T,95.00
16104177,MOTOREX OLEJ SILNIKOWY CROSS POWER 2T 1L,Oleje silnikowe 2T,90.00
16104180,Olej silnikowy Motul Scooter Expert 2T 1L (PÓŁSYNTETYCZNY),Oleje silnikowe 2T,42.00
16176012,Motul Fork Oil Expert Medium 10W 1l olej do teleskopów,Oleje do amortyzatorów,60.00
16176014,Motul Fork Oil Medium / Heavy 'EXPERT' 15w 1L olej do teleskopów,Oleje do amortyzatorów,59.00
16176015,Motul Fork Oil Expert Heavy 20W 1l olej do teleskopów,Oleje do amortyzatorów,58.00
16176017,"Motul FORK OIL FACTORY LINE 7,5W MEDIUM (SYNTETYCZNY) 1L olej do teleskopów",Oleje do amortyzatorów,75.00
16176018,Motul FORK OIL FACTORY LINE 2.5W VERY LIGHT 1L olej do teleskopów,Oleje do amortyzatorów,75.00
16176020,Motul Fork Oil Factory Line Medium 10W 1l olej do teleskopów,Oleje do amortyzatorów,77.90
16821917,Opona Goldspeed  MXR 18X10-8 YELLOW,Opony,495.00
17082170,Opona Goldspeed MXF 20X6-10 YELLOW terenowa wyczynowa motocross do quada,Opony,538.00
17082172,Opona Goldspeed MXR 20X10-9 YELLOW E4 terenowa wyczynowa ATV Quad Motocross,Opony,825.00
17082173,Opona Goldspeed MXR2 18X10-8 YELLOW terenowa wyczynowa QUAD ATV off-road,Opony,712.00
17082174,Opona Goldspeed SC4 22.5X9-10 YELLOW terenowa wyczynowa off-road QUAD ATV,Opony,874.00
17082175,Opona Goldspeed SC3 21X10-9 YELLOW terenowa wyczynowa QUAD ATV,Opony,817.00
17082176,Opona Goldspeed SC3 22X8-9 YELLOW wyczynowa terenowa ATV QUAD,Opony,703.00
17082177,Opona Goldspeed SX 23X6-10 YELLOW terenowa wyczynowa Quad ATV UTV Off-road,Opony,688.00
17082178,Opona Goldspeed SX 21X6-10 YELLOW terenowa wyczynowa ATV Quad Off-road,Opony,670.00
17082179,Opona Goldspeed M-948F SX 20X6-10 YELLOW wyczynowa terenowa Supercross,Opony,572.00
17082180,Opona Goldspeed M-948F SX 21X7-10 YELLOW wyczynowa terenowa Motocross Quad,Opony,639.00
17082181,Opona Goldspeed SX 20x6-10 RED,Opony,648.00
17104086,Opona Goldspeed MXF 21X6-10 YELLOW,Opony,554.00
17728236,Felga Goldspeed BEAD LOCK 10X5 4/144/156 3+2 czarna Raptor YFM YFZ YFZ 450R KTM XC SX LTR,Felgi,681.00
17728238,Felga Goldspeed BEAD LOCK 10X5 4/144/156  4+1 czarna  Raptor YFM YFZ YFZ 450R KTM XC SX LTR,Felgi,920.00
17728239,"Felga Goldspeed BEAD LOCK 10X8 4/110/115 3+5 czarna, Raptor YFM YFZ YFZ 450R KTM XC SX LTR",Felgi,756.00
17728241,"Felga Goldspeed BEAD LOCK 8X8 4/110/115 3+5 czarna, Raptor YFM YFZ YFZ 450R KTM XC SX LTR",Felgi,670.00
17728242,"Felga Goldspeed BEAD LOCK 9X8 4/110/115 3+5 czarna, Raptor YFM YFZ YFZ 450R KTM XC SX LTR",Felgi,741.00
28492873,KOMPLETNY DRĄŻEK KIEROWNICZY CF MOTO 39-45CM,Zestawy  naprawcze zawieszenia,155.00
28492874,Kompletny drążek kierowniczy CF Moto 450 CF Moto 520,Zestawy  naprawcze zawieszenia,259.90
28492875,Kompletny drążek kierowniczy CFMOTO CForce 800 850 1000,Zawieszenie i Koła,330.87
28492876,"Filtr powietrza CF MOTO CForce 600 CF UTV 800, CF 850, CF800, CF450, CF520, Z8",Filtry powietrza,154.98
28492877,Filtr powietrza CF MOTO CForce CForce 1000 Z1000,Filtry powietrza,166.05
28492879,Drążek kierowniczy CF MOTO,Zestawy  naprawcze zawieszenia,147.60
28492880,Łącznik stabilizatora lewy CF MOTO,Zawieszenie i Koła,220.17
28700893,Maska przód do CF MOTO,nadwozie CF MOTO,233.70
28700894,Przewód hamulcowy tył CF MOTO 800 820,Układ hamulcowy,157.44
28700895,ŁĄCZNIK STABILIZATORA TYŁ CF MOTO PRAWA STRONA 9010-060800-20000,Zawieszenie i Koła,220.17
28700897,Guma mocowania pokrywy schowka CF MOTO,Akcesoria,15.99
28700898,Osłona ramy przód Cf MOTO 450 520,części zamienne nowe CF MOTO,119.31
28700899,Osłona plastik przód CF MOTO 800,części zamienne nowe CF MOTO,153.75
28700900,Klocki hamulcowe Cf Moto tył,Układ hamulcowy,212.79
28700901,Osłona tylna spodu CF MOTO 850 9AWV-044023-4000,części zamienne nowe CF MOTO,125.46
